character_id,comic_id
1009670,36489
1009670,36487
1009670,36484
1009670,29324
1009670,38305
1009670,29216
1009670,29215
1009670,29222
1009670,29218
1009670,35849
1009670,37287
1009670,35423
1009670,29217
1009670,36770
1009670,29213
1009670,29931
1009670,29817
1009670,31560
1009670,33464
1009670,29816
1009670,27549
1009670,27548
1009670,27546
1009670,27545
1009670,27544
1009670,27891
1009670,24573
1009670,23968
1009670,23608
1009670,23112
1009670,22912
1009670,23060
1009670,23057
1009670,21802
1009670,21366
1009670,24571
1009670,17275
1009670,16496
1009670,16173
1009670,13513
1009670,13477
1009670,5805
1009670,5844
1009670,4787
1009670,4786
1009670,2006
1009670,1311
1009670,10286
1009670,17518
1009670,10285
1009670,18654
1009670,17523
1009670,17512
1009670,12789
1009670,17501
1009670,17490
1009670,23313
1009670,10083
1009670,10082
1009670,10081
1009670,10080
1009670,15518
1009670,17940
1009670,13109
1009670,6929
1009670,13696
1009670,10231
1009670,12982
1009670,20025
1011057,29931
1011057,29817
1011057,23968
1011057,22300
1011057,20679
1011057,17397
1009253,37491
1009253,18021
1009253,18020
1009253,17988
1009253,17978
1009253,17965
1009544,21295
1009544,17454
1009544,17944
1009544,18070
1009544,18043
1009544,18037
1009544,18033
1009544,18028
1009544,18024
1009544,18023
1009544,18018
1009544,10880
1010707,6215
1010707,5425
1010707,4332
1010707,4230
1010707,4243
1010707,3908
1009602,15012
1009602,1083
1009356,41200
1009356,40708
1009356,40471
1009356,40137
1009356,38796
1009356,38141
1009356,39685
1009356,39684
1009356,38239
1009356,29733
1009356,28005
1009356,28006
1009356,28927
1009356,28949
1009356,35497
1009356,39304
1009356,38881
1009356,38062
1009356,36060
1009356,37068
1009356,25970
1009356,24348
1009356,23926
1009356,24066
1009356,24549
1009356,23890
1009356,22935
1009356,23015
1009356,22856
1009356,23060
1009356,23057
1009356,22609
1009356,22608
1009356,22524
1009356,22420
1009356,22058
1009356,21804
1009356,21829
1009356,21813
1009356,21805
1009356,21618
1009356,21629
1009356,21631
1009356,21426
1009356,21315
1009356,21248
1009356,21247
1009356,20725
1009356,20656
1009356,20726
1009356,20634
1009356,17451
1009356,17454
1009356,17368
1009356,17449
1009356,17226
1009356,17233
1009356,17296
1009356,16445
1009356,21845
1009356,16488
1009356,16645
1009356,16547
1009356,16487
1009356,16632
1009356,16483
1009356,16641
1009356,16209
1009356,16132
1009356,16208
1009356,15922
1009356,16102
1009356,15902
1009356,15983
1009356,15948
1009356,15984
1009356,16003
1009356,16033
1009356,15917
1009356,15831
1009356,15906
1009356,15916
1009356,15866
1009356,13517
1009356,13516
1009356,13447
1009356,13535
1009356,6342
1009356,6332
1009356,6277
1009356,6266
1009356,6146
1009356,6156
1009356,6127
1009356,6088
1009356,5949
1009356,6003
1009356,5861
1009356,5800
1009356,5240
1009356,41200
1009356,40708
1009356,40471
1009356,40137
1009356,38796
1009356,38141
1009356,39685
1009356,39684
1009356,38239
1009356,29733
1009356,28005
1009356,28006
1009356,28927
1009356,28949
1009356,35497
1009356,39304
1009356,38881
1009356,38062
1009356,36060
1009356,37068
1009356,25970
1009356,24348
1009356,23926
1009356,24066
1009356,24549
1009356,23890
1009356,22935
1009356,23015
1009356,22856
1009356,23060
1009356,23057
1009356,22609
1009356,22608
1009356,22524
1009356,22420
1009356,22058
1009356,21804
1009356,21829
1009356,21813
1009356,21805
1009356,21618
1009356,21629
1009356,21631
1009356,21426
1009356,21315
1009356,21248
1009356,21247
1009356,20725
1009356,20656
1009356,20726
1009356,20634
1009356,17451
1009356,17454
