12252,1009175
12252,1009257
12252,1009362
12042,1009610
20583,1009243
20583,1009257
20583,1009718
13141,1009283
13141,1009356
13141,1009583
13141,1009662
7729,1009220
10764,1009312
10764,1009592
22173,1009515
15286,1009493
19817,1009187
19817,1009220
19817,1009282
19817,1009368
19817,1009515
19817,1009610
19817,1009664
11726,1009664
8610,1009472
14137,1009368
14137,1009591
14137,1009718
6715,1009610
13779,1009243
13779,1009267
13779,1009337
13779,1009408
13779,1009512
13779,1009546
13779,1009629
13779,1009718
10152,1009420
10152,1010791
10152,1009718
13778,1009243
13778,1009267
13778,1009337
13778,1009408
13778,1009512
13778,1009546
13778,1009718
15285,1009493
11725,1009664
22162,1009515
14592,1009610
6714,1009610
8252,1009262
8252,1010369
9479,1009368
15150,1009592
9160,1009351
9160,1009610
20168,1009186
20168,1009239
20168,1009241
20168,1009258
20168,1009262
20168,1009280
20168,1009471
20168,1009473
20168,1009592
20168,1009686
20168,1009720
10141,1009351
10141,1009420
10141,1009718
12251,1009159
12251,1009327
12041,1009610
13140,1009281
13140,1009351
13140,1009356
13140,1009662
20582,1009257
20582,1009718
7728,1009220
14036,1009368
14036,1009718
6713,1009610
10130,1009262
10130,1009420
10130,1009718
13777,1009220
13777,1009243
13777,1009267
13777,1009315
13777,1009337
13777,1009382
13777,1009408
13777,1009472
13777,1009476
13777,1009512
13777,1009546
13777,1009614
13777,1009664
13777,1009718
9478,1009368
15149,1009592
17940,1009338
17940,1011300
17940,1011026
17940,1011220
17940,1009452
17940,1009670
17940,1009719
9159,1009351
12250,1009159
12250,1009175
12250,1009199
12250,1010366
12250,1009362
12250,1009542
12250,1009614
12040,1009610
19816,1009159
19816,1009271
19816,1009288
19816,1009465
19816,1009629
19816,1010791
10119,1009420
10119,1009664
10119,1009718
7727,1009220
6712,1009610
8250,1009213
8250,1009262
8250,1009389
8250,1010369
20581,1009629
20581,1009718
15284,1009493
13138,1009281
13138,1009356
13138,1009662
11724,1009664
13776,1009243
13776,1009267
13776,1009337
13776,1009408
13776,1009512
13776,1009546
13776,1009629
13776,1009718
14591,1009610
10108,1009420
10108,1009718
13775,1009243
13775,1009267
13775,1009337
13775,1009408
13775,1009512
13775,1009546
13775,1009718
6711,1009507
6711,1009610
10097,1009420
10097,1009718
10010,1009420
10010,1009592
10010,1009718
20580,1009168
20580,1009718
13137,1009195
13137,1009281
13137,1009356
13137,1009662
11723,1009664
6710,1009610
14590,1009610
15282,1009493
9477,1009368
15148,1009592
9158,1009351
12249,1009175
12249,1009186
12249,1010366
12249,1009257
12249,1009362
12249,1009542
12249,1009583
12249,1009664
12039,1009610
13774,1009243
13774,1009257
13774,1009267
13774,1009337
13774,1009408
13774,1009512
13774,1009546
13774,1009718
7726,1009220
30123,1009664
29931,1010829
29931,1009220
29931,1009245
29931,1009274
29931,1009316
29931,1010760
29931,1010352
29931,1009325
29931,1009493
29931,1010817
29931,1009571
29931,1011057
29931,1009648
29931,1009664
29931,1009670
33325,1011258
33325,1009404
33325,1011426
33325,1009610
32864,1009175
32864,1009257
32864,1009310
32864,1009718
30104,1009368
31074,1009351
34268,1009268
33378,1009368
30725,1009368
